best better heaviest JJS_JJR heavier
recognizes recognized finds VBZ_VBD found
recognized recognizes found VBD_VBZ finds
believe believed earn VB_VBD earned
believed believe earned VBD_VB earn
believe believes earn VB_VBZ earns
believes believe earns VBZ_VB earn
believes believed earns VBZ_VBD earned
believed believes earned VBD_VBZ earns
believe believed become VB_VBD became
believed believe became VBD_VB become
believe believes become VB_VBZ becomes
believes believe becomes VBZ_VB become
believes believed becomes VBZ_VBD became
believed believes became VBD_VBZ becomes
believes believed likes VBZ_VBD liked
believed believes liked VBD_VBZ likes
believe believed seek VB_VBD sought
believed believe sought VBD_VB seek
believe believes seek VB_VBZ seeks
believes believe seeks VBZ_VB seek
believes believed seeks VBZ_VBD sought
believed believes sought VBD_VBZ seeks
believe believed avoid VB_VBD avoided
believed believe avoided VBD_VB avoid
believe believes avoid VB_VBZ avoids
believes believe avoids VBZ_VB avoid
believes believed avoids VBZ_VBD avoided
believed believes avoided VBD_VBZ avoids
leads led produces VBZ_VBD produced
led leads produced VBD_VBZ produces
leads led prevents VBZ_VBD prevented
led leads prevented VBD_VBZ prevents
leads led asks VBZ_VBD asked
led leads asked VBD_VBZ asks
leads led determines VBZ_VBD determined
led leads determined VBD_VBZ determines
leads led takes VBZ_VBD took
led leads took VBD_VBZ takes
reach reached resolve VB_VBD resolved
reached reach resolved VBD_VB resolve
reach reached provide VB_VBD provided
reached reach provided VBD_VB provide
reach reaches provide VB_VBZ provides
reaches reach provides VBZ_VB provide
reaches reached provides VBZ_VBD provided
reached reaches provided VBD_VBZ provides
reaches reached begins VBZ_VBD began
reached reaches began VBD_VBZ begins
reach reached go VB_VBD went
reached reach went VBD_VB go
reach reaches go VB_VBZ goes
reaches reach goes VBZ_VB go
reaches reached goes VBZ_VBD went
reached reaches went VBD_VBZ goes
reach reached serve VB_VBD served
reached reach served VBD_VB serve
reach reaches serve VB_VBZ serves
reaches reach serves VBZ_VB serve
reaches reached serves VBZ_VBD served
reached reaches served VBD_VBZ serves
improve improved do VB_VBD did
improved improve did VBD_VB do
improve improves do VB_VBZ does
improves improve does VBZ_VB do
improves improved does VBZ_VBD did
improved improves did VBD_VBZ does
improves improved lives VBZ_VBD lived
improved improves lived VBD_VBZ lives
improve improved prevent VB_VBD prevented
improved improve prevented VBD_VB prevent
improve improves prevent VB_VBZ prevents
improves improve prevents VBZ_VB prevent
improves improved prevents VBZ_VBD prevented
improved improves prevented VBD_VBZ prevents
improve improved become VB_VBD became
improved improve became VBD_VB become
improve improves become VB_VBZ becomes
improves improve becomes VBZ_VB become
improves improved becomes VBZ_VBD became
improved improves became VBD_VBZ becomes
prevent prevented consider VB_VBD considered
prevented prevent considered VBD_VB consider
prevent prevents consider VB_VBZ considers
prevents prevent considers VBZ_VB consider
prevents prevented considers VBZ_VBD considered
prevented prevents considered VBD_VBZ considers
prevent prevented see VB_VBD saw
prevented prevent saw VBD_VB see
prevent prevents see VB_VBZ sees
prevents prevent sees VBZ_VB see
prevents prevented sees VBZ_VBD saw
prevented prevents saw VBD_VBZ sees
prevent prevented save VB_VBD saved
prevented prevent saved VBD_VB save
prevent prevents save VB_VBZ saves
prevents prevent saves VBZ_VB save
prevents prevented saves VBZ_VBD saved
prevented prevents saved VBD_VBZ saves
prevent prevented say VB_VBD said
prevented prevent said VBD_VB say
prevent prevents say VB_VBZ says
prevents prevent says VBZ_VB say
prevents prevented says VBZ_VBD said
prevented prevents said VBD_VBZ says
determine determined prove VB_VBD proved
determined determine proved VBD_VB prove
determine determines prove VB_VBZ proves
determines determine proves VBZ_VB prove
determines determined proves VBZ_VBD proved
determined determines proved VBD_VBZ proves
determine determined send VB_VBD sent
determined determine sent VBD_VB send
determine determines send VB_VBZ sends
determines determine sends VBZ_VB send
determines determined sends VBZ_VBD sent
determined determines sent VBD_VBZ sends
determine determined create VB_VBD created
determined determine created VBD_VB create
determine determines create VB_VBZ creates
determines determine creates VBZ_VB create
determines determined creates VBZ_VBD created
determined determines created VBD_VBZ creates
determine determined meet VB_VBD met
determined determine met VBD_VB meet
determine determines meet VB_VBZ meets
determines determine meets VBZ_VB meet
determines determined meets VBZ_VBD met
determined determines met VBD_VBZ meets
determines determined shows VBZ_VBD showed
determined determines showed VBD_VBZ shows
require required make VB_VBD made
required require made VBD_VB make
require requires make VB_VBZ makes
requires require makes VBZ_VB make
requires required makes VBZ_VBD made
required requires made VBD_VBZ makes
require required protect VB_VBD protected
required require protected VBD_VB protect
require requires protect VB_VBZ protects
requires require protects VBZ_VB protect
requires required protects VBZ_VBD protected
required requires protected VBD_VBZ protects
require required include VB_VBD included
required require included VBD_VB include
require requires include VB_VBZ includes
requires require includes VBZ_VB include
requires required includes VBZ_VBD included
required requires included VBD_VBZ includes
require required decide VB_VBD decided
required require decided VBD_VB decide
require requires decide VB_VBZ decides
requires require decides VBZ_VB decide
requires required decides VBZ_VBD decided
required requires decided VBD_VBZ decides
earn earns extend VB_VBZ extends
earns earn extends VBZ_VB extend
earn earned go VB_VBD went
earned earn went VBD_VB go
earn earns go VB_VBZ goes
earns earn goes VBZ_VB go
earns earned goes VBZ_VBD went
earned earns went VBD_VBZ goes
earns earned likes VBZ_VBD liked
earned earns liked VBD_VBZ likes
earn earned serve VB_VBD served
earned earn served VBD_VB serve
earn earns serve VB_VBZ serves
earns earn serves VBZ_VB serve
earns earned serves VBZ_VBD served
earned earns served VBD_VBZ serves
remains remained returns VBZ_VBD returned
remained remains returned VBD_VBZ returns
remain remained learn VB_VBD learned
remained remain learned VBD_VB learn
remain remains learn VB_VBZ learns
remains remain learns VBZ_VB learn
remains remained learns VBZ_VBD learned
remained remains learned VBD_VBZ learns
remain remains think VB_VBZ thinks
remains remain thinks VBZ_VB think
remain remained become VB_VBD became
remained remain became VBD_VB become
remain remains become VB_VBZ becomes
remains remain becomes VBZ_VB become
remains remained becomes VBZ_VBD became
remained remains became VBD_VBZ becomes
remain remained understand VB_VBD understood
remained remain understood VBD_VB understand
remain remains understand VB_VBZ understands
remains remain understands VBZ_VB understand
remains remained understands VBZ_VBD understood
remained remains understood VBD_VBZ understands
accommodate accommodated send VB_VBD sent
accommodated accommodate sent VBD_VB send
accommodate accommodated need VB_VBD needed
accommodated accommodate needed VBD_VB need
accommodate accommodated preserve VB_VBD preserved
accommodated accommodate preserved VBD_VB preserve
accommodate accommodated serve VB_VBD served
accommodated accommodate served VBD_VB serve
raise raised protect VB_VBD protected
raised raise protected VBD_VB protect
raise raises protect VB_VBZ protects
raises raise protects VBZ_VB protect
raises raised protects VBZ_VBD protected
raised raises protected VBD_VBZ protects
raise raised require VB_VBD required
raised raise required VBD_VB require
raise raises require VB_VBZ requires
raises raise requires VBZ_VB require
raises raised requires VBZ_VBD required
raised raises required VBD_VBZ requires
raise raised happen VB_VBD happened
raised raise happened VBD_VB happen
raise raised save VB_VBD saved
raised raise saved VBD_VB save
raise raises save VB_VBZ saves
raises raise saves VBZ_VB save
raises raised saves VBZ_VBD saved
raised raises saved VBD_VBZ saves
raise raised understand VB_VBD understood
raised raise understood VBD_VB understand
raise raises understand VB_VBZ understands
raises raise understands VBZ_VB understand
raises raised understands VBZ_VBD understood
raised raises understood VBD_VBZ understands
serve served resolve VB_VBD resolved
served serve resolved VBD_VB resolve
serves served returns VBZ_VBD returned
served serves returned VBD_VBZ returns
serves served uses VBZ_VBD used
served serves used VBD_VBZ uses
serve served offer VB_VBD offered
served serve offered VBD_VB offer
serve serves offer VB_VBZ offers
serves serve offers VBZ_VB offer
serves served offers VBZ_VBD offered
served serves offered VBD_VBZ offers
offer offered believe VB_VBD believed
offered offer believed VBD_VB believe
offer offers believe VB_VBZ believes
offers offer believes VBZ_VB believe
offers offered believes VBZ_VBD believed
offered offers believed VBD_VBZ believes
offer offered feel VB_VBD felt
offered offer felt VBD_VB feel
offer offers feel VB_VBZ feels
offers offer feels VBZ_VB feel
offers offered feels VBZ_VBD felt
offered offers felt VBD_VBZ feels
offer offered determine VB_VBD determined
offered offer determined VBD_VB determine
offer offers determine VB_VBZ determines
offers offer determines VBZ_VB determine
offers offered determines VBZ_VBD determined
offered offers determined VBD_VBZ determines
offer offered give VB_VBD gave
offered offer gave VBD_VB give
offer offers give VB_VBZ gives
offers offer gives VBZ_VB give
offers offered gives VBZ_VBD gave
offered offers gave VBD_VBZ gives
offer offers think VB_VBZ thinks
offers offer thinks VBZ_VB think
increase increased come VB_VBD came
increased increase came VBD_VB come
increase increases come VB_VBZ comes
increases increase comes VBZ_VB come
increases increased comes VBZ_VBD came
increased increases came VBD_VBZ comes
increase increased include VB_VBD included
increased increase included VBD_VB include
increase increases include VB_VBZ includes
increases increase includes VBZ_VB include
increases increased includes VBZ_VBD included
increased increases included VBD_VBZ includes
increase increased save VB_VBD saved
increased increase saved VBD_VB save
increase increases save VB_VBZ saves
increases increase saves VBZ_VB save
increases increased saves VBZ_VBD saved
increased increases saved VBD_VBZ saves
increase increased say VB_VBD said
increased increase said VBD_VB say
increase increases say VB_VBZ says
increases increase says VBZ_VB say
increases increased says VBZ_VBD said
increased increases said VBD_VBZ says
increase increased seek VB_VBD sought
increased increase sought VBD_VB seek
increase increases seek VB_VBZ seeks
increases increase seeks VBZ_VB seek
increases increased seeks VBZ_VBD sought
increased increases sought VBD_VBZ seeks
seek sought help VB_VBD helped
sought seek helped VBD_VB help
seek seeks help VB_VBZ helps
seeks seek helps VBZ_VB help
seeks sought helps VBZ_VBD helped
sought seeks helped VBD_VBZ helps
seek sought receive VB_VBD received
sought seek received VBD_VB receive
seek seeks receive VB_VBZ receives
seeks seek receives VBZ_VB receive
seeks sought receives VBZ_VBD received
sought seeks received VBD_VBZ receives
seek sought come VB_VBD came
sought seek came VBD_VB come
seek seeks come VB_VBZ comes
seeks seek comes VBZ_VB come
seeks sought comes VBZ_VBD came
sought seeks came VBD_VBZ comes
seek sought get VB_VBD got
sought seek got VBD_VB get
seek seeks get VB_VBZ gets
seeks seek gets VBZ_VB get
seeks sought gets VBZ_VBD got
sought seeks got VBD_VBZ gets
seek sought tell VB_VBD told
sought seek told VBD_VB tell
seek seeks tell VB_VBZ tells
seeks seek tells VBZ_VB tell
seeks sought tells VBZ_VBD told
sought seeks told VBD_VBZ tells
asks asked stops VBZ_VBD stopped
asked asks stopped VBD_VBZ stops
ask asked become VB_VBD became
asked ask became VBD_VB become
ask asks become VB_VBZ becomes
asks ask becomes VBZ_VB become
asks asked becomes VBZ_VBD became
asked asks became VBD_VBZ becomes
ask asked reduce VB_VBD reduced
asked ask reduced VBD_VB reduce
ask asks reduce VB_VBZ reduces
asks ask reduces VBZ_VB reduce
asks asked reduces VBZ_VBD reduced
asked asks reduced VBD_VBZ reduces
ask asked seek VB_VBD sought
asked ask sought VBD_VB seek
ask asks seek VB_VBZ seeks
asks ask seeks VBZ_VB seek
asks asked seeks VBZ_VBD sought
asked asks sought VBD_VBZ seeks
resolve resolved come VB_VBD came
resolved resolve came VBD_VB come
resolve resolved learn VB_VBD learned
resolved resolve learned VBD_VB learn
resolve resolved go VB_VBD went
resolved resolve went VBD_VB go
discuss discussed protect VB_VBD protected
discussed discuss protected VBD_VB protect
discuss discusses protect VB_VBZ protects
discusses discuss protects VBZ_VB protect
discusses discussed protects VBZ_VBD protected
discussed discusses protected VBD_VBZ protects
discuss discussed bring VB_VBD brought
discussed discuss brought VBD_VB bring
discuss discusses bring VB_VBZ brings
discusses discuss brings VBZ_VB bring
discusses discussed brings VBZ_VBD brought
discussed discusses brought VBD_VBZ brings
discusses discussed starts VBZ_VBD started
discussed discusses started VBD_VBZ starts
discuss discussed eliminate VB_VBD eliminated
discussed discuss eliminated VBD_VB eliminate
discuss discusses eliminate VB_VBZ eliminates
discusses discuss eliminates VBZ_VB eliminate
discusses discussed eliminates VBZ_VBD eliminated
discussed discusses eliminated VBD_VBZ eliminates
discuss discussed accommodate VB_VBD accommodated
discussed discuss accommodated VBD_VB accommodate
lives lived reaches VBZ_VBD reached
lived lives reached VBD_VBZ reaches
lives lived knows VBZ_VBD knew
lived lives knew VBD_VBZ knows
lives lived sends VBZ_VBD sent
lived lives sent VBD_VBZ sends
receive received earn VB_VBD earned
received receive earned VBD_VB earn
receive receives earn VB_VBZ earns
receives receive earns VBZ_VB earn
receives received earns VBZ_VBD earned
received receives earned VBD_VBZ earns
receive received protect VB_VBD protected
received receive protected VBD_VB protect
receive receives protect VB_VBZ protects
receives receive protects VBZ_VB protect
receives received protects VBZ_VBD protected
received receives protected VBD_VBZ protects
receive received meet VB_VBD met
received receive met VBD_VB meet
receive receives meet VB_VBZ meets
receives receive meets VBZ_VB meet
receives received meets VBZ_VBD met
received receives met VBD_VBZ meets
receive received get VB_VBD got
received receive got VBD_VB get
receive receives get VB_VBZ gets
receives receive gets VBZ_VB get
receives received gets VBZ_VBD got
received receives got VBD_VBZ gets
receive received build VB_VBD built
received receive built VBD_VB build
receive receives build VB_VBZ builds
receives receive builds VBZ_VB build
receives received builds VBZ_VBD built
received receives built VBD_VBZ builds
learn learned win VB_VBD won
learned learn won VBD_VB win
learn learns win VB_VBZ wins
learns learn wins VBZ_VB win
learns learned wins VBZ_VBD won
learned learns won VBD_VBZ wins
learn learned provide VB_VBD provided
learned learn provided VBD_VB provide
learn learns provide VB_VBZ provides
learns learn provides VBZ_VB provide
learns learned provides VBZ_VBD provided
learned learns provided VBD_VBZ provides
learn learned build VB_VBD built
learned learn built VBD_VB build
learn learns build VB_VBZ builds
learns learn builds VBZ_VB build
learns learned builds VBZ_VBD built
learned learns built VBD_VBZ builds
learn learned ask VB_VBD asked
learned learn asked VBD_VB ask
learn learns ask VB_VBZ asks
learns learn asks VBZ_VB ask
learns learned asks VBZ_VBD asked
learned learns asked VBD_VBZ asks
learn learns think VB_VBZ thinks
learns learn thinks VBZ_VB think
seem seemed resolve VB_VBD resolved
seemed seem resolved VBD_VB resolve
seem seemed offer VB_VBD offered
seemed seem offered VBD_VB offer
seem seems offer VB_VBZ offers
seems seem offers VBZ_VB offer
seems seemed offers VBZ_VBD offered
seemed seems offered VBD_VBZ offers
seem seemed have VB_VBD had
seemed seem had VBD_VB have
seem seems have VB_VBZ has
seems seem has VBZ_VB have
seems seemed has VBZ_VBD had
seemed seems had VBD_VBZ has
seem seemed avoid VB_VBD avoided
seemed seem avoided VBD_VB avoid
seem seems avoid VB_VBZ avoids
seems seem avoids VBZ_VB avoid
seems seemed avoids VBZ_VBD avoided
seemed seems avoided VBD_VBZ avoids
seem seems develop VB_VBZ develops
seems seem develops VBZ_VB develop
happen happened stay VB_VBD stayed
happened happen stayed VBD_VB stay
happen happened prove VB_VBD proved
happened happen proved VBD_VB prove
happen happened bring VB_VBD brought
happened happen brought VBD_VB bring
happen happened serve VB_VBD served
happened happen served VBD_VB serve
proves proved supports VBZ_VBD supported
proved proves supported VBD_VBZ supports
prove proved get VB_VBD got
proved prove got VBD_VB get
prove proves get VB_VBZ gets
proves prove gets VBZ_VB get
proves proved gets VBZ_VBD got
proved proves got VBD_VBZ gets
prove proved tell VB_VBD told
proved prove told VBD_VB tell
prove proves tell VB_VBZ tells
proves prove tells VBZ_VB tell
proves proved tells VBZ_VBD told
proved proves told VBD_VBZ tells
prove proved learn VB_VBD learned
proved prove learned VBD_VB learn
prove proves learn VB_VBZ learns
proves prove learns VBZ_VB learn
proves proved learns VBZ_VBD learned
proved proves learned VBD_VBZ learns
opens opened knows VBZ_VBD knew
opened opens knew VBD_VBZ knows
opens opened allows VBZ_VBD allowed
opened opens allowed VBD_VBZ allows
opens opened creates VBZ_VBD created
opened opens created VBD_VBZ creates
opens opened wants VBZ_VBD wanted
opened opens wanted VBD_VBZ wants
celebrate celebrated make VB_VBD made
celebrated celebrate made VBD_VB make
celebrate celebrates make VB_VBZ makes
celebrates celebrate makes VBZ_VB make
celebrates celebrated makes VBZ_VBD made
celebrated celebrates made VBD_VBZ makes
celebrate celebrated remain VB_VBD remained
celebrated celebrate remained VBD_VB remain
celebrate celebrates remain VB_VBZ remains
celebrates celebrate remains VBZ_VB remain
celebrates celebrated remains VBZ_VBD remained
celebrated celebrates remained VBD_VBZ remains
celebrate celebrated feel VB_VBD felt
celebrated celebrate felt VBD_VB feel
celebrate celebrates feel VB_VBZ feels
celebrates celebrate feels VBZ_VB feel
celebrates celebrated feels VBZ_VBD felt
celebrated celebrates felt VBD_VBZ feels
celebrate celebrated discuss VB_VBD discussed
celebrated celebrate discussed VBD_VB discuss
celebrate celebrates discuss VB_VBZ discusses
celebrates celebrate discusses VBZ_VB discuss
celebrates celebrated discusses VBZ_VBD discussed
celebrated celebrates discussed VBD_VBZ discusses
celebrate celebrated become VB_VBD became
celebrated celebrate became VBD_VB become
celebrate celebrates become VB_VBZ becomes
celebrates celebrate becomes VBZ_VB become
celebrates celebrated becomes VBZ_VBD became
celebrated celebrates became VBD_VBZ becomes
need needed make VB_VBD made
needed need made VBD_VB make
need needed ask VB_VBD asked
needed need asked VBD_VB ask
need needed tell VB_VBD told
needed need told VBD_VB tell
save saved reach VB_VBD reached
saved save reached VBD_VB reach
save saves reach VB_VBZ reaches
saves save reaches VBZ_VB reach
saves saved reaches VBZ_VBD reached
saved saves reached VBD_VBZ reaches
save saved follow VB_VBD followed
saved save followed VBD_VB follow
save saves follow VB_VBZ follows
saves save follows VBZ_VB follow
saves saved follows VBZ_VBD followed
saved saves followed VBD_VBZ follows
decide decided win VB_VBD won
decided decide won VBD_VB win
decide decides win VB_VBZ wins
decides decide wins VBZ_VB win
decides decided wins VBZ_VBD won
decided decides won VBD_VBZ wins
decides decided opens VBZ_VBD opened
decided decides opened VBD_VBZ opens
decide decided accept VB_VBD accepted
decided decide accepted VBD_VB accept
decide decides accept VB_VBZ accepts
decides decide accepts VBZ_VB accept
decides decided accepts VBZ_VBD accepted
decided decides accepted VBD_VBZ accepts
decide decided become VB_VBD became
decided decide became VBD_VB become
decide decides become VB_VBZ becomes
decides decide becomes VBZ_VB become
decides decided becomes VBZ_VBD became
decided decides became VBD_VBZ becomes
join joined determine VB_VBD determined
joined join determined VBD_VB determine
join joins determine VB_VBZ determines
joins join determines VBZ_VB determine
joins joined determines VBZ_VBD determined
joined joins determined VBD_VBZ determines
join joined ensure VB_VBD ensured
joined join ensured VBD_VB ensure
join joins ensure VB_VBZ ensures
joins join ensures VBZ_VB ensure
joins joined ensures VBZ_VBD ensured
joined joins ensured VBD_VBZ ensures
join joined require VB_VBD required
joined join required VBD_VB require
join joins require VB_VBZ requires
joins join requires VBZ_VB require
joins joined requires VBZ_VBD required
joined joins required VBD_VBZ requires
join joined become VB_VBD became
joined join became VBD_VB become
join joins become VB_VBZ becomes
joins join becomes VBZ_VB become
joins joined becomes VBZ_VBD became
joined joins became VBD_VBZ becomes
join joined preserve VB_VBD preserved
joined join preserved VBD_VB preserve
join joins preserve VB_VBZ preserves
joins join preserves VBZ_VB preserve
joins joined preserves VBZ_VBD preserved
joined joins preserved VBD_VBZ preserves
sends sent pays VBZ_VBD paid
sent sends paid VBD_VBZ pays
sends sent begins VBZ_VBD began
sent sends began VBD_VBZ begins
sends sent returns VBZ_VBD returned
sent sends returned VBD_VBZ returns
send sent decide VB_VBD decided
sent send decided VBD_VB decide
send sends decide VB_VBZ decides
sends send decides VBZ_VB decide
sends sent decides VBZ_VBD decided
sent sends decided VBD_VBZ decides
send sent avoid VB_VBD avoided
sent send avoided VBD_VB avoid
send sends avoid VB_VBZ avoids
sends send avoids VBZ_VB avoid
sends sent avoids VBZ_VBD avoided
sent sends avoided VBD_VBZ avoids
